,min_timestamp,max_timestamp,med_timestamp,mean_timestamp,min_gas,max_gas,med_gas,mean_gas,out_count,min_outgoing_priceETH,max_outgoing_priceETH,med_outgoing_priceETH,mean_outgoing_priceETH,in_count,min_incoming_priceETH,max_incoming_priceETH,med_incoming_priceETH,mean_incoming_priceETH,address,label
107215,,,,,,,,,,,,,,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,0xd2108cf4cba2472482a88c0d1f6bce9888cfa207,None
24408,1.648912064e+18,1.649103031e+18,1.6490075475e+18,1.6490075475e+18,235052.0,237248.0,236150.0,236150.0,2.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,,,,,,0x555719af9be082101630d4f4e8b249998c77d710,None
90469,,,,,,,,,,,,,,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,0x67d8d181bcfd3fa76d6ab5a110437a9116ff16b6,None
12756,1.649385531e+18,1.649397679e+18,1.649391605e+18,1.649391605e+18,169830.0,174630.0,172230.0,172230.0,2.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,2.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,0x2ce84e36a056a2fa7621cc54c5d49c886cfec265,None
57709,1.648827133e+18,1.648827133e+18,1.648827133e+18,1.648827133e+18,52498.0,52498.0,52498.0,52498.0,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,0xc8b6a96dc398f6c5bffa45fdb2d865c70c40b92f,None
78772,,,,,,,,,,,,,,1.0,2.00000009162741e-18,2.00000009162741e-18,2.00000009162741e-18,2.00000009162741e-18,0x1f5f0f31b72e4f444422d96e67750c4b03724b9b,None
16948,1.649425394e+18,1.649425394e+18,1.649425394e+18,1.649425394e+18,194994.0,194994.0,194994.0,194994.0,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,,,,,,0x3b753cb9f6e96d2d3bc7f04c5aea759fb692ffc6,None
23423,1.649278926e+18,1.649279492e+18,1.649279209e+18,1.649279209e+18,87810.0,104162.0,95986.0,95986.0,2.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,3.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,0x51e6f5560c7ac0ab63fa4e0f77375172d6775ab5,None
2231,1.648533411e+18,1.648533411e+18,1.648533411e+18,1.648533411e+18,194928.0,194928.0,194928.0,194928.0,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,,,,,,0x07d41229f89398ab5fe45a3079dfb11dfbdb2b8c,None
43518,1.648887899e+18,1.648887899e+18,1.648887899e+18,1.648887899e+18,45359.0,45359.0,45359.0,45359.0,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,0x9756fdc331d46e16278be1afe8a7dfea27745a3c,None
